;date;text;id;key
0;2020-08-26 19:32:58+00:00;.@KirstenRask - det er en fantastisk nyhed. Og vi i @headspaceDK og de unge skylder dig og @Sygeplejeraadet kæmpe for jeres utrættelige arbejde for flere headspaces i fx @regionsjaelland - sammen kan vi bare mere! @GreteGc #dkpol @Heunicke ;1298705012684738560;Heunicke
1;2016-07-09 21:38:49+00:00;Arabic introduction for Marcelle Aleid porject - مارسيل العيد تتحدث عن ذ... https://youtu.be/yTBEzpTB8Gw via @YouTube #Marcelle_Aleid #MyOneThing;751893396118237184;Heunicke
2;2020-08-26 17:12:34+00:00;"Igen; hvorfor dropper man ikke mundbind ved operationer, hvis de ikke virker?";1298669679486087168;Heunicke
3;2020-08-26 16:04:42+00:00;nemlig!;1298652600410296320;Heunicke
4;2020-08-26 15:19:22+00:00;Der er 2 ting der virker. Tilgængelighed og pris! Apotekerne skal have pålagt ansvar for salg og prisen hæves til 140 kr. pr. cigaretpakke. Det er så simpelt og effektivt, at mærker og branding er uden betydning.;1298641193488744449;Heunicke
5;2020-08-26 15:18:45+00:00;Hej Niels Det ærgrer mig, at jeg som 13 årig købte jeg min første pakke cigaretter til en pris af 33 kr. I dag 19 år efter der betaler jeg sølle 41 kr. Jeg har røget mine lunger itu i en alder af 32 og det er hverken logo'er, farver eller branding, der er skyld i det. ...;1298641035141292032;Heunicke
6;2020-08-26 15:15:53+00:00;Bøtten til affald er ikke for lille. Logisk. Lille container. Problem løst.;1298640316820488197;Heunicke
7;2020-08-26 14:56:17+00:00;Et godt forslag @karinFbach og med den forbilledlige håndtering af COVID-19 kunne dette være et næste skridt for en ambitiøs regering, ikke sandt @Heunicke #sundpol @stinuslindgreen @kost_dk @FaKDFormand @LarsIgum @OleToftSundhed @Martin_Geertsen @Blixt22;1298635384050659340;Heunicke
8;2020-08-26 14:51:29+00:00;Dejligt.;1298634174652461056;Heunicke
9;2020-08-26 14:46:47+00:00;- #SkraldeMK er på vej, holder i dette øjeblik ved Poul Henningsens Plads ;1298632991086989312;Heunicke
10;2020-08-26 14:39:46+00:00;Sorry det er måske også lidt strengt, men fotoet er det ikke fra Amager Strand Metro, og der efterlades strandparken og omkringliggende pladser sådan efter weekenden. Men uagtet hvad et sørgerligt syn.;1298631225641439235;Heunicke
11;2020-08-26 14:35:09+00:00;Hvad får dig til at drage den besynderlige slutning, at det er unge mennesker, der har smidt de mundbind?;1298630063559122946;Heunicke
12;2020-08-26 14:28:53+00:00;Enig, men man kan også have en ekstra plastikpose med i tasken. Men det har de unge festaber nok ikke. Synes nu ellers at man har opdraget sine børn til ikke at smide affald på gaden.;1298628487012638721;Heunicke
13;2020-08-26 14:24:22+00:00;ak ja, og når folk hamstrer toiletpapir i lange baner så... nej glem det ;1298627352893837315;Heunicke
14;2020-08-26 14:17:02+00:00;Jeg er helt med. Samtidig kunne begivenhedernes gang også have været foregrebet, og der kunne være blevet sat ekstra skraldespande op da kravet om mundbind blev indført!?;1298625504615043079;Heunicke
15;2020-08-26 14:14:58+00:00;- enig, mage til ansvarsløs opførsel skal man lede længe efter - er skraldespanden fyldt så stik bindet i lommen eller tasken... hvor svært kan det være ;1298624984559038467;Heunicke
16;2020-08-26 14:11:23+00:00;Jeg kan ikke snakke for jer, men jeg skal satme ikke have mine hænder i nærheden af den skraldespand der, så fyldt som den er.. Så går pointen med mundbind jo fuldstændig af fløjten.;1298624084348227584;Heunicke
17;2020-08-26 14:09:52+00:00;Behovet for at kunne handle hurtigt på en hurtigt udviklende epidemi ville blive indført, alt i mens @folketinget kan stoppe en regering der (som den nuværende) går for vidt. Demokratisk kontrol kan dermed opretholdes, samtidig med hurtigt reaktion kan opnås.;1298623702427459586;Heunicke
18;2020-08-26 14:05:51+00:00;Indførelse af en undtagelsestilstand i grundloven, kan give regering kortvarig beføjelser til hasteimplementering af love, men alle love indført med undtagelsestilstand, vil ophøre efter undtagelsestilstanden. Kvalificerede flertal skal forlænge hvert undtagelsestilstanden 14 dag;1298622689465311235;Heunicke
19;2020-08-26 13:58:00+00:00;Forbandet svineri. ;1298620714606645250;Heunicke
20;2020-08-26 13:55:12+00:00;#MUNDSVIN - ta' dit spyt og dårlige ånde med dig https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/brugte-mundbind-flyder-i-bybilledet-traefsikkerheden-er?cid=newsletter_nb_kobenhavn_20200826152829 #dkpol #dkmedier @statsmin @Heunicke @LykkePetri @VangstedMarie @KareMolbak @SSTbrostrom @LMSTSenderovitz @TyraTgv @tv2newsdk @DR1TV;1298620009841922050;Heunicke
21;2020-08-26 13:47:30+00:00;Altså dén vaccine som Bill Gates tilbød til Indien, hvorefter selve regeringen smed hans organisation ud af landet grundet de ekstreme følgeskader af vaccinen? Nåh nej, den er der bestemt ik' noget kontrovers omkring - nej nej.;1298618074648772608;Heunicke
22;2016-07-09 21:38:49+00:00;Arabic introduction for Marcelle Aleid porject - مارسيل العيد تتحدث عن ذ... https://youtu.be/yTBEzpTB8Gw via @YouTube #Marcelle_Aleid #MyOneThing;751893396118237184;Heunicke
23;2020-08-26 13:45:20+00:00;Men dig, den sande mester, er mere tryg ved at stole på et medicinalfirma, der har opnået immunitet politisk, således at vi betaler alle deres tabte erstatningssager? Prøv at læs det én gang til, og fortæl mig hvilket bælte du har i naivitet? Tæt på det sorte vil jeg tro.;1298617526943985664;Heunicke
24;2020-08-26 13:42:55+00:00;"http://London.tv er et godt sted at starte - tænker specifikt på hans interview-serie med David Icke, der går i dybden med verdens fremtidsudsigter, &amp; hvorfor samfundet rykker sig således, som den nu gør. Ikke tilfældigt, men en langtidssigtet plan over årtier.";1298616921080975360;Heunicke
25;2020-08-26 13:40:04+00:00;Men du har mere tiltro til et medicinalfirma, der har opnået immunitet politisk, således at hver gang de taber en erstatningssag, er det vores skattekroner, der dækker det. Det er altså dém, du hellere vil stole på? Altså virkelig, dem? ;1298616200684085249;Heunicke
26;2020-08-26 13:18:09+00:00;NY EPIDEMILOV. I går holdt Justitias @JMchangama oplæg for Folketingets Følgegruppe for covid-19 og @Heunicke om en mere robust og fleksibel epidemilov, der kan håndtere kommende og ukendte epidemier. #dkpol #COVID19dk Læs mere her: http://justitia-int.org/justitia-med-i-forarbejdet-til-ny-epidemilov/;1298610688651341824;Heunicke
27;2020-08-26 13:13:07+00:00;Det er det evige spørgsmål!;1298609418708422658;Heunicke
28;2020-08-26 13:08:38+00:00;Og han var til møde i Verdensbanken??? Siger han selv, men dokumenter fra mødet viser noget andet Løgn på løgn.. Men det bliver jo afsløret en dag..;1298608293884170240;Heunicke
29;2020-08-26 13:03:54+00:00;jeg tror han hentyder til møde med Bill Gates, men det er der i sig selv vel ikke noget odiøst i.;1298607100986261506;Heunicke
30;2020-08-26 13:01:26+00:00;Rigtig godt, så man ikke skal blokere linjen hos egen læge.;1298606478929125383;Heunicke
31;2020-08-26 12:53:41+00:00;@Heunicke det gik meget stærkt med at indføre mundbind, så de kan vel også fjernes hurtigt? ;1298604531664793605;Heunicke
32;2020-08-26 12:31:42+00:00;Mundbind på armen er super effektiv. Jeg elsker min armbind ;1298598999046455297;Heunicke
33;2020-08-26 12:31:32+00:00;Hvis det var Anden bølge, hvornår hedder det så blot en krusning?;1298598956331671553;Heunicke
34;2020-08-26 12:28:41+00:00;Men top-læger/SST vil ikke anerkende post-viral sygdom, ME. Affejede Folketingets v82. Ptt stadig uden læge/lindring og henvist til psykiatrien @Heunicke @Blixt22 @Susanne_Zimmer @KirstenNormann @SSTSundhed @SSTProbst @ProfJLundgren @prof_ost @Camilla_Rathcke @Sygeplejeraadet;1298598237939609600;Heunicke
